Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,ROCHESTER NY WASH SQ GARAGE2,111 Woodbury Blvd,,Rochester,NY,14607,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.152697,-77.603915,04/06/2021,61063,2021-04-06 00:24:53,,,,,J1772
ELEC,Rechler Equity,85 S Service Rd,,Plainview,NY,11803,,631-414-8400,E,,Public,Business hours,,,1,,,Non-Networked,,GPS,40.786520,-73.452186,01/14/2021,72670,2021-03-11 23:22:17,P,,,01/07/2021,J1772
ELEC,iPark 200 E 70th Street - Tesla Destination,200 E 70th St,,New York,NY,10021,,212-535-5908  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.768244,-73.961621,11/03/2020,115042,2021-03-11 23:22:17,P,,,12/15/2016,J1772 TESLA
ELEC,RPI 1 SERVICE S1,110 8th St,,Troy,NY,12180,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.729185,-73.679038,04/06/2021,121219,2021-04-06 00:24:53,,,,,J1772
ELEC,Town of Geneva,32 White Springs Rd,,Geneva,NY,14456,,866-816-7584,E,,Public,24 hours daily,,,2,,,EV Connect,http://evconnect.com/,GPS,42.856272,-77.000230,06/09/2020,123100,2021-03-11 23:22:17,LG,,,04/01/2019,J1772
ELEC,WARRENCOUNTY DPW 3,1348 U.S. 9,,Lake George,NY,12845,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.359019,-73.701171,04/06/2021,150257,2021-04-06 00:24:53,,,,,J1772
ELEC,Dino's Tailor Shop,2400 Monroe Av,,Rochester,NY,14618,,888-356-8911,E,,Public,24 hours daily,,,1,,,FLO,https://flo.ca/,GPS,43.118929,-77.556073,04/06/2021,152919,2021-04-06 01:29:08,,,,,J1772
ELEC,GREECE TOWN HAL GREECE NORTH 1,1 Vince Tofany Blvd,,Rochester,NY,14612,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,43.258230,-77.699135,04/06/2021,164052,2021-04-06 00:24:53,,,,,J1772
ELEC,Walmart 2586 Cheektowaga,2500 Walden Ave,,Cheektowaga,NY,14225,,833-632-2778,E,,Public,24 hours daily,,,,4,,Electrify America,https://www.electrifyamerica.com/,GPS,42.909598,-78.744700,04/06/2021,166207,2021-04-06 01:19:10,,,,,CHADEMO J1772COMBO
ELEC,HAWKINS P2 ST 1 SUNYPLATTSBURGH,47 Beekman Street,,Plattsburgh,NY,12901,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.697682,-73.467520,04/06/2021,167180,2021-04-06 00:24:53,,,,,J1772
